Site,Sample_Type,Rep,Dilution,Substrate,Time,Absorbance
Clear_Creek,Water,1,0.01,D-Xylose,48,0.006
Clear_Creek,Water,1,0.01,D-Xylose,144,0.016
Clear_Creek,Water,1,0.01,D-Galacturonic Acid,24,0.076
Clear_Creek,Water,1,0.01,D-Galacturonic Acid,48,0.051
Clear_Creek,Water,1,0.01,D-Galacturonic Acid,144,0.053
Clear_Creek,Water,1,0.01,L-Asparganine,24,0.001
Clear_Creek,Water,1,0.01,L-Asparganine,48,0
Clear_Creek,Water,1,0.01,L-Asparganine,144,0.014
Clear_Creek,Water,1,0.01,Tween 40,24,0.205
Clear_Creek,Water,1,0.01,Tween 40,48,0.275
Clear_Creek,Water,1,0.01,Tween 40,144,0.199
Clear_Creek,Water,1,0.01,i-Erythitol,24,0.044
Clear_Creek,Water,1,0.01,i-Erythitol,48,0.275
Clear_Creek,Water,1,0.01,i-Erythitol,144,2.182
Clear_Creek,Water,1,0.01,2-Hydroxy Benzoic Acid,24,0
Clear_Creek,Water,1,0.01,2-Hydroxy Benzoic Acid,48,0
Clear_Creek,Water,1,0.01,2-Hydroxy Benzoic Acid,144,0.01
Clear_Creek,Water,1,0.01,L-Phenylalanine,24,0.154
Clear_Creek,Water,1,0.01,L-Phenylalanine,48,0.231
Clear_Creek,Water,1,0.01,L-Phenylalanine,144,0.265
Clear_Creek,Water,1,0.01,Tween 80,24,0.114
Clear_Creek,Water,1,0.01,Tween 80,48,0.162
Clear_Creek,Water,1,0.01,Tween 80,144,0.109
Clear_Creek,Water,1,0.01,D-Mannitol,24,0.03
Clear_Creek,Water,1,0.01,D-Mannitol,48,0.507
Clear_Creek,Water,1,0.01,D-Mannitol,144,1.023
Clear_Creek,Water,1,0.01,4-Hydroxy Benzoic Acid,24,0.1
Clear_Creek,Water,1,0.01,4-Hydroxy Benzoic Acid,48,0.259
Clear_Creek,Water,1,0.01,4-Hydroxy Benzoic Acid,144,0.505
Clear_Creek,Water,1,0.01,L-Serine,24,0.138
Clear_Creek,Water,1,0.01,L-Serine,48,0.227
Clear_Creek,Water,1,0.01,L-Serine,144,0.209
Clear_Creek,Water,1,0.01,α-Cyclodextrin,24,0.184
Clear_Creek,Water,1,0.01,α-Cyclodextrin,48,0.266
Clear_Creek,Water,1,0.01,α-Cyclodextrin,144,0.25
Clear_Creek,Water,1,0.01,N-Acetyl-D-Glucosamine,24,0.146
Clear_Creek,Water,1,0.01,N-Acetyl-D-Glucosamine,48,0.284
Clear_Creek,Water,1,0.01,N-Acetyl-D-Glucosamine,144,0.69
Clear_Creek,Water,1,0.01,γ-Hydroxybutyric Acid,24,0.216
Clear_Creek,Water,1,0.01,γ-Hydroxybutyric Acid,48,0.007
Clear_Creek,Water,1,0.01,γ-Hydroxybutyric Acid,144,0
Clear_Creek,Water,1,0.01,L-Threonine,24,0.209
Clear_Creek,Water,1,0.01,L-Threonine,48,0.237
Clear_Creek,Water,1,0.01,L-Threonine,144,0.142
Clear_Creek,Water,1,0.01,Glycogen,24,0.315
Clear_Creek,Water,1,0.01,Glycogen,48,0.395
Clear_Creek,Water,1,0.01,Glycogen,144,0.363
Clear_Creek,Water,1,0.01,D-Glucosaminic Acid,24,0.187
Clear_Creek,Water,1,0.01,D-Glucosaminic Acid,48,0.258
Clear_Creek,Water,1,0.01,D-Glucosaminic Acid,144,0.309
Clear_Creek,Water,1,0.01,Itaconic Acid,24,0.185
Clear_Creek,Water,1,0.01,Itaconic Acid,48,0.3
Clear_Creek,Water,1,0.01,Itaconic Acid,144,1.021
Clear_Creek,Water,1,0.01,Glycyl-L-Glutamic Acid,24,0.227
Clear_Creek,Water,1,0.01,Glycyl-L-Glutamic Acid,48,0.28
Clear_Creek,Water,1,0.01,Glycyl-L-Glutamic Acid,144,0.265
Clear_Creek,Water,1,0.01,D-Cellobiose,24,0.155
Clear_Creek,Water,1,0.01,D-Cellobiose,48,0.133
Clear_Creek,Water,1,0.01,D-Cellobiose,144,0.193
Clear_Creek,Water,1,0.01,Glucose-1-Phosphate,24,0.031
Clear_Creek,Water,1,0.01,Glucose-1-Phosphate,48,0.021
Clear_Creek,Water,1,0.01,Glucose-1-Phosphate,144,0.035
Clear_Creek,Water,1,0.01,α-Ketobutyric Acid,24,0.041
Clear_Creek,Water,1,0.01,α-Ketobutyric Acid,48,0.043
Clear_Creek,Water,1,0.01,α-Ketobutyric Acid,144,0.056
Clear_Creek,Water,1,0.01,Phenylethylamine,24,0.038
Clear_Creek,Water,1,0.01,Phenylethylamine,48,0.023
Clear_Creek,Water,1,0.01,Phenylethylamine,144,0.046
Clear_Creek,Water,1,0.01,α-D-Lactose,24,0.003
Clear_Creek,Water,1,0.01,α-D-Lactose,48,0.005
Clear_Creek,Water,1,0.01,α-D-Lactose,144,0.004
Clear_Creek,Water,1,0.01,D.L -α-Glycerol Phosphate,24,0.02
Clear_Creek,Water,1,0.01,D.L -α-Glycerol Phosphate,48,0.018
Clear_Creek,Water,1,0.01,D.L -α-Glycerol Phosphate,144,0.038
Clear_Creek,Water,1,0.01,D-Mallic Acid,24,0.005
Clear_Creek,Water,1,0.01,D-Mallic Acid,48,0.005
Clear_Creek,Water,1,0.01,D-Mallic Acid,144,0.005
Clear_Creek,Water,1,0.01,Putrescine,24,0.006
Clear_Creek,Water,1,0.01,Putrescine,48,0.006
Clear_Creek,Water,1,0.01,Putrescine,144,0.01
Clear_Creek,Water,1,0.1,Water,24,0
Clear_Creek,Water,1,0.1,Water,48,0
Clear_Creek,Water,1,0.1,Water,144,0
Clear_Creek,Water,1,0.1,β-Methyl-D- Glucoside,24,0.01
Clear_Creek,Water,1,0.1,β-Methyl-D- Glucoside,48,0.497
Clear_Creek,Water,1,0.1,β-Methyl-D- Glucoside,144,0.772
Clear_Creek,Water,1,0.1,D-Galactonic Acid γ-Lactone,24,0.07
Clear_Creek,Water,1,0.1,D-Galactonic Acid γ-Lactone,48,1.915
Clear_Creek,Water,1,0.1,D-Galactonic Acid γ-Lactone,144,2.906
Clear_Creek,Water,1,0.1,L-Arginine,24,0.003
Clear_Creek,Water,1,0.1,L-Arginine,48,0
Clear_Creek,Water,1,0.1,L-Arginine,144,0.508
Clear_Creek,Water,1,0.1,Pyruvic Acid Methyl Ester,24,0
Clear_Creek,Water,1,0.1,Pyruvic Acid Methyl Ester,48,0.038
Clear_Creek,Water,1,0.1,Pyruvic Acid Methyl Ester,144,0.94
Clear_Creek,Water,1,0.1,D-Xylose,24,0
Clear_Creek,Water,1,0.1,D-Xylose,48,0
Clear_Creek,Water,1,0.1,D-Xylose,144,0
Clear_Creek,Water,1,0.1,D-Galacturonic Acid,24,0.016
Clear_Creek,Water,1,0.1,D-Galacturonic Acid,48,1.816
Clear_Creek,Water,1,0.1,D-Galacturonic Acid,144,2.123
Clear_Creek,Water,1,0.1,L-Asparganine,24,0.037
Clear_Creek,Water,1,0.1,L-Asparganine,48,0.057
Clear_Creek,Water,1,0.1,L-Asparganine,144,0.293
Clear_Creek,Water,1,0.1,Tween 40,24,0
Clear_Creek,Water,1,0.1,Tween 40,48,0
Clear_Creek,Water,1,0.1,Tween 40,144,0
Clear_Creek,Water,1,0.1,i-Erythitol,24,0.001
Clear_Creek,Water,1,0.1,i-Erythitol,48,0
Clear_Creek,Water,1,0.1,i-Erythitol,144,0.61
Clear_Creek,Water,1,0.1,2-Hydroxy Benzoic Acid,24,0.099
Clear_Creek,Water,1,0.1,2-Hydroxy Benzoic Acid,48,0.116
Clear_Creek,Water,1,0.1,2-Hydroxy Benzoic Acid,144,0.111
Clear_Creek,Water,1,0.1,L-Phenylalanine,24,0.153
Clear_Creek,Water,1,0.1,L-Phenylalanine,48,0.208
Clear_Creek,Water,1,0.1,L-Phenylalanine,144,0.303
Clear_Creek,Water,1,0.1,Tween 80,24,0.138
Clear_Creek,Water,1,0.1,Tween 80,48,0.611
Clear_Creek,Water,1,0.1,Tween 80,144,2.608
Clear_Creek,Water,1,0.1,D-Mannitol,24,0.032
Clear_Creek,Water,1,0.1,D-Mannitol,48,0.648
Clear_Creek,Water,1,0.1,D-Mannitol,144,2.409
Clear_Creek,Water,1,0.1,4-Hydroxy Benzoic Acid,24,0.179
Clear_Creek,Water,1,0.1,4-Hydroxy Benzoic Acid,48,0.372
Clear_Creek,Water,1,0.1,4-Hydroxy Benzoic Acid,144,0.698
Clear_Creek,Water,1,0.1,L-Serine,24,0.185
Clear_Creek,Water,1,0.1,L-Serine,48,0.223
Clear_Creek,Water,1,0.1,L-Serine,144,1.17
Clear_Creek,Water,1,0.1,α-Cyclodextrin,24,0
Clear_Creek,Water,1,0.1,α-Cyclodextrin,48,0
Clear_Creek,Water,1,0.1,α-Cyclodextrin,144,0.627
Clear_Creek,Water,1,0.1,N-Acetyl-D-Glucosamine,24,0.179
Clear_Creek,Water,1,0.1,N-Acetyl-D-Glucosamine,48,1.675
Clear_Creek,Water,1,0.1,N-Acetyl-D-Glucosamine,144,2.589
Clear_Creek,Water,1,0.1,γ-Hydroxybutyric Acid,24,0.233
Clear_Creek,Water,1,0.1,γ-Hydroxybutyric Acid,48,0.36
Clear_Creek,Water,1,0.1,γ-Hydroxybutyric Acid,144,0.521
Clear_Creek,Water,1,0.1,L-Threonine,24,0.066
Clear_Creek,Water,1,0.1,L-Threonine,48,0.033
Clear_Creek,Water,1,0.1,L-Threonine,144,0.417
Clear_Creek,Water,1,0.1,Glycogen,24,0.026
Clear_Creek,Water,1,0.1,Glycogen,48,0
Clear_Creek,Water,1,0.1,Glycogen,144,0.835
Clear_Creek,Water,1,0.1,D-Glucosaminic Acid,24,0
Clear_Creek,Water,1,0.1,D-Glucosaminic Acid,48,0
Clear_Creek,Water,1,0.1,D-Glucosaminic Acid,144,0
Clear_Creek,Water,1,0.1,Itaconic Acid,24,0.059
Clear_Creek,Water,1,0.1,Itaconic Acid,48,0.045
Clear_Creek,Water,1,0.1,Itaconic Acid,144,0
Clear_Creek,Water,1,0.1,Glycyl-L-Glutamic Acid,24,0.277
Clear_Creek,Water,1,0.1,Glycyl-L-Glutamic Acid,48,0.265
Clear_Creek,Water,1,0.1,Glycyl-L-Glutamic Acid,144,0.398
Clear_Creek,Water,1,0.1,D-Cellobiose,24,0.002
Clear_Creek,Water,1,0.1,D-Cellobiose,48,0.509
Clear_Creek,Water,1,0.1,D-Cellobiose,144,1.75
Clear_Creek,Water,1,0.1,Glucose-1-Phosphate,24,0.086
Clear_Creek,Water,1,0.1,Glucose-1-Phosphate,48,1.102
Clear_Creek,Water,1,0.1,Glucose-1-Phosphate,144,1.398
Clear_Creek,Water,1,0.1,α-Ketobutyric Acid,24,0.004
Clear_Creek,Water,1,0.1,α-Ketobutyric Acid,48,0
Clear_Creek,Water,1,0.1,α-Ketobutyric Acid,144,0.242
Clear_Creek,Water,1,0.1,Phenylethylamine,24,0.031
Clear_Creek,Water,1,0.1,Phenylethylamine,48,0.011
Clear_Creek,Water,1,0.1,Phenylethylamine,144,0.077
Clear_Creek,Water,1,0.1,α-D-Lactose,24,0
Clear_Creek,Water,1,0.1,α-D-Lactose,48,0
Clear_Creek,Water,1,0.1,α-D-Lactose,144,0.268
Clear_Creek,Water,1,0.1,D.L -α-Glycerol Phosphate,24,0.005
Clear_Creek,Water,1,0.1,D.L -α-Glycerol Phosphate,48,0
Clear_Creek,Water,1,0.1,D.L -α-Glycerol Phosphate,144,0
Clear_Creek,Water,1,0.1,D-Mallic Acid,24,0
Clear_Creek,Water,1,0.1,D-Mallic Acid,48,0
Clear_Creek,Water,1,0.1,D-Mallic Acid,144,0.987
Clear_Creek,Water,1,0.1,Putrescine,24,0
Clear_Creek,Water,1,0.1,Putrescine,48,0
Clear_Creek,Water,1,0.1,Putrescine,144,0
Clear_Creek,Water,2,0.001,Water,24,0
Clear_Creek,Water,2,0.001,Water,48,0
Clear_Creek,Water,2,0.001,Water,144,0
Clear_Creek,Water,2,0.001,β-Methyl-D- Glucoside,24,0
Clear_Creek,Water,2,0.001,β-Methyl-D- Glucoside,48,0
Clear_Creek,Water,2,0.001,β-Methyl-D- Glucoside,144,0
Clear_Creek,Water,2,0.001,D-Galactonic Acid γ-Lactone,24,0.001
Clear_Creek,Water,2,0.001,D-Galactonic Acid γ-Lactone,48,0
Clear_Creek,Water,2,0.001,D-Galactonic Acid γ-Lactone,144,0.009
Clear_Creek,Water,2,0.001,L-Arginine,24,0
Clear_Creek,Water,2,0.001,L-Arginine,48,0
Clear_Creek,Water,2,0.001,L-Arginine,144,0
Clear_Creek,Water,2,0.001,Pyruvic Acid Methyl Ester,24,0.192
Clear_Creek,Water,2,0.001,Pyruvic Acid Methyl Ester,48,0
Clear_Creek,Water,2,0.001,Pyruvic Acid Methyl Ester,144,0.035
Clear_Creek,Water,2,0.001,D-Xylose,24,0.147
Clear_Creek,Water,2,0.001,D-Xylose,48,0.009
Clear_Creek,Water,2,0.001,D-Xylose,144,0.049
Clear_Creek,Water,2,0.001,D-Galacturonic Acid,24,0.008
Clear_Creek,Water,2,0.001,D-Galacturonic Acid,48,0
Clear_Creek,Water,2,0.001,D-Galacturonic Acid,144,0.036
Clear_Creek,Water,2,0.001,L-Asparganine,24,0
Clear_Creek,Water,2,0.001,L-Asparganine,48,0
Clear_Creek,Water,2,0.001,L-Asparganine,144,0
Clear_Creek,Water,2,0.001,Tween 40,24,0
Clear_Creek,Water,2,0.001,Tween 40,48,0
Clear_Creek,Water,2,0.001,Tween 40,144,0.241
Clear_Creek,Water,2,0.001,i-Erythitol,24,0.182
Clear_Creek,Water,2,0.001,i-Erythitol,48,0
Clear_Creek,Water,2,0.001,i-Erythitol,144,0.039
Clear_Creek,Water,2,0.001,2-Hydroxy Benzoic Acid,24,0.003
Clear_Creek,Water,2,0.001,2-Hydroxy Benzoic Acid,48,0
Clear_Creek,Water,2,0.001,2-Hydroxy Benzoic Acid,144,0.04
Clear_Creek,Water,2,0.001,L-Phenylalanine,24,0
Clear_Creek,Water,2,0.001,L-Phenylalanine,48,0
Clear_Creek,Water,2,0.001,L-Phenylalanine,144,0
Clear_Creek,Water,2,0.001,Tween 80,24,0
Clear_Creek,Water,2,0.001,Tween 80,48,0
Clear_Creek,Water,2,0.001,Tween 80,144,0
Clear_Creek,Water,2,0.001,D-Mannitol,24,0
Clear_Creek,Water,2,0.001,D-Mannitol,48,0
Clear_Creek,Water,2,0.001,D-Mannitol,144,0
Clear_Creek,Water,2,0.001,4-Hydroxy Benzoic Acid,24,0.081
Clear_Creek,Water,2,0.001,4-Hydroxy Benzoic Acid,48,0
Clear_Creek,Water,2,0.001,4-Hydroxy Benzoic Acid,144,0.037
Clear_Creek,Water,2,0.001,L-Serine,24,0
Clear_Creek,Water,2,0.001,L-Serine,48,0
Clear_Creek,Water,2,0.001,L-Serine,144,0.006
Clear_Creek,Water,2,0.001,α-Cyclodextrin,24,0.188
Clear_Creek,Water,2,0.001,α-Cyclodextrin,48,0.173
Clear_Creek,Water,2,0.001,α-Cyclodextrin,144,0.07
Clear_Creek,Water,2,0.001,N-Acetyl-D-Glucosamine,24,0.258
Clear_Creek,Water,2,0.001,N-Acetyl-D-Glucosamine,48,0.198
Clear_Creek,Water,2,0.001,N-Acetyl-D-Glucosamine,144,0.047
Clear_Creek,Water,2,0.001,γ-Hydroxybutyric Acid,24,0.54
Clear_Creek,Water,2,0.001,γ-Hydroxybutyric Acid,48,0.187
Clear_Creek,Water,2,0.001,γ-Hydroxybutyric Acid,144,0.046
Clear_Creek,Water,2,0.001,L-Threonine,24,0
Clear_Creek,Water,2,0.001,L-Threonine,48,0
Clear_Creek,Water,2,0.001,L-Threonine,144,0.023
Clear_Creek,Water,2,0.001,Glycogen,24,0.198
Clear_Creek,Water,2,0.001,Glycogen,48,0.184
Clear_Creek,Water,2,0.001,Glycogen,144,0.043
Clear_Creek,Water,2,0.001,D-Glucosaminic Acid,24,0.215
Clear_Creek,Water,2,0.001,D-Glucosaminic Acid,48,0.121
Clear_Creek,Water,2,0.001,D-Glucosaminic Acid,144,0.031
Clear_Creek,Water,2,0.001,Itaconic Acid,24,0.1
Clear_Creek,Water,2,0.001,Itaconic Acid,48,0
Clear_Creek,Water,2,0.001,Itaconic Acid,144,0.039
Clear_Creek,Water,2,0.001,Glycyl-L-Glutamic Acid,24,0
Clear_Creek,Water,2,0.001,Glycyl-L-Glutamic Acid,48,0
Clear_Creek,Water,2,0.001,Glycyl-L-Glutamic Acid,144,0.012
Clear_Creek,Water,2,0.001,D-Cellobiose,24,0.058
Clear_Creek,Water,2,0.001,D-Cellobiose,48,0
Clear_Creek,Water,2,0.001,D-Cellobiose,144,0.034
Clear_Creek,Water,2,0.001,Glucose-1-Phosphate,24,0.11
Clear_Creek,Water,2,0.001,Glucose-1-Phosphate,48,0
Clear_Creek,Water,2,0.001,Glucose-1-Phosphate,144,0.035
Clear_Creek,Water,2,0.001,α-Ketobutyric Acid,24,0.005
Clear_Creek,Water,2,0.001,α-Ketobutyric Acid,48,0
Clear_Creek,Water,2,0.001,α-Ketobutyric Acid,144,0.033
Clear_Creek,Water,2,0.001,Phenylethylamine,24,0
Clear_Creek,Water,2,0.001,Phenylethylamine,48,0
Clear_Creek,Water,2,0.001,Phenylethylamine,144,0
Clear_Creek,Water,2,0.001,α-D-Lactose,24,0.002
Clear_Creek,Water,2,0.001,α-D-Lactose,48,0
Clear_Creek,Water,2,0.001,α-D-Lactose,144,0.025
Clear_Creek,Water,2,0.001,D.L -α-Glycerol Phosphate,24,0.001
Clear_Creek,Water,2,0.001,D.L -α-Glycerol Phosphate,48,0
Clear_Creek,Water,2,0.001,D.L -α-Glycerol Phosphate,144,0.012
Clear_Creek,Water,2,0.001,D-Mallic Acid,24,0
Clear_Creek,Water,2,0.001,D-Mallic Acid,48,0
Clear_Creek,Water,2,0.001,D-Mallic Acid,144,0
Clear_Creek,Water,2,0.001,Putrescine,24,0
Clear_Creek,Water,2,0.001,Putrescine,48,0
Clear_Creek,Water,2,0.001,Putrescine,144,0
Clear_Creek,Water,2,0.01,Water,24,0
Clear_Creek,Water,2,0.01,Water,48,0
Clear_Creek,Water,2,0.01,Water,144,0
Clear_Creek,Water,2,0.01,β-Methyl-D- Glucoside,24,0
Clear_Creek,Water,2,0.01,β-Methyl-D- Glucoside,48,0
Clear_Creek,Water,2,0.01,β-Methyl-D- Glucoside,144,0
Clear_Creek,Water,2,0.01,D-Galactonic Acid γ-Lactone,24,0.004
Clear_Creek,Water,2,0.01,D-Galactonic Acid γ-Lactone,48,0.002
Clear_Creek,Water,2,0.01,D-Galactonic Acid γ-Lactone,144,0.016
Clear_Creek,Water,2,0.01,L-Arginine,24,0.006
Clear_Creek,Water,2,0.01,L-Arginine,48,0
Clear_Creek,Water,2,0.01,L-Arginine,144,0.003
Clear_Creek,Water,2,0.01,Pyruvic Acid Methyl Ester,24,0.024
Clear_Creek,Water,2,0.01,Pyruvic Acid Methyl Ester,48,0
Clear_Creek,Water,2,0.01,Pyruvic Acid Methyl Ester,144,0.432
Clear_Creek,Water,2,0.01,D-Xylose,24,0.065
Clear_Creek,Water,2,0.01,D-Xylose,48,0
Clear_Creek,Water,2,0.01,D-Xylose,144,0.042
Clear_Creek,Water,2,0.01,D-Galacturonic Acid,24,0.155
Clear_Creek,Water,2,0.01,D-Galacturonic Acid,48,0.01
Clear_Creek,Water,2,0.01,D-Galacturonic Acid,144,0.206
Clear_Creek,Water,2,0.01,L-Asparganine,24,0.171
Clear_Creek,Water,2,0.01,L-Asparganine,48,0
Clear_Creek,Water,2,0.01,L-Asparganine,144,0.032
Clear_Creek,Water,2,0.01,Tween 40,24,0.05
Clear_Creek,Water,2,0.01,Tween 40,48,0
Clear_Creek,Water,2,0.01,Tween 40,144,0.028
Clear_Creek,Water,2,0.01,i-Erythitol,24,0.165
Clear_Creek,Water,2,0.01,i-Erythitol,48,0
Clear_Creek,Water,2,0.01,i-Erythitol,144,0.594
Clear_Creek,Water,2,0.01,2-Hydroxy Benzoic Acid,24,0.198
Clear_Creek,Water,2,0.01,2-Hydroxy Benzoic Acid,48,0.002
Clear_Creek,Water,2,0.01,2-Hydroxy Benzoic Acid,144,0.035
Clear_Creek,Water,2,0.01,L-Phenylalanine,24,0.23
