Species,Light,Nitrogen,Humidity,Temperature,GrowthRate
P.cornucopiae,10,30,High,20,248
P.cornucopiae,20,30,High,20,437.8
P.cornucopiae,0,35,High,20,159.5
P.cornucopiae,10,35,High,20,208.5
P.cornucopiae,20,35,High,20,516.5
P.cornucopiae,0,40,High,20,232.7
P.cornucopiae,10,40,High,20,143
P.cornucopiae,20,40,High,20,311.1
P.cornucopiae,0,45,High,20,130.9
P.cornucopiae,10,45,High,20,132.2
P.cornucopiae,20,45,High,20,283.7
P.cornucopiae,0,0,Low,25,16.1
P.cornucopiae,10,0,Low,25,30.6
P.cornucopiae,20,0,Low,25,134.1
P.cornucopiae,0,5,Low,25,56
P.cornucopiae,10,5,Low,25,41.8
P.cornucopiae,20,5,Low,25,100.6
P.cornucopiae,0,10,Low,25,45.7
P.cornucopiae,10,10,Low,25,53.8
P.cornucopiae,20,10,Low,25,107.1
P.cornucopiae,0,20,Low,25,72.5
P.cornucopiae,10,20,Low,25,96.9
P.cornucopiae,20,20,Low,25,124.9
P.cornucopiae,0,25,Low,25,117.7
P.cornucopiae,10,25,Low,25,105.4
P.cornucopiae,20,25,Low,25,209.6
P.cornucopiae,0,30,Low,25,74.3
P.cornucopiae,10,30,Low,25,74.5
P.cornucopiae,20,30,Low,25,90.7
P.cornucopiae,0,35,Low,25,29
P.cornucopiae,10,35,Low,25,49.7
P.cornucopiae,20,35,Low,25,182.8
P.cornucopiae,0,40,Low,25,53.8
P.cornucopiae,10,40,Low,25,41.2
P.cornucopiae,20,40,Low,25,114.4
P.cornucopiae,0,45,Low,25,8.2
P.cornucopiae,10,45,Low,25,43.7
P.cornucopiae,20,45,Low,25,72.5
P.cornucopiae,0,0,High,25,38.6
P.cornucopiae,10,0,High,25,127.9
P.cornucopiae,20,0,High,25,215.1
P.cornucopiae,0,5,High,25,32.9
P.cornucopiae,10,5,High,25,85.7
P.cornucopiae,20,5,High,25,295
P.cornucopiae,0,10,High,25,99.9
P.cornucopiae,10,10,High,25,111.4
P.cornucopiae,20,10,High,25,368.8
P.cornucopiae,0,20,High,25,180.5
P.cornucopiae,10,20,High,25,176.6
P.cornucopiae,20,20,High,25,249.4
P.cornucopiae,0,25,High,25,127.3
P.cornucopiae,10,25,High,25,193.9
P.cornucopiae,20,25,High,25,288.9
P.cornucopiae,0,30,High,25,106.5
P.cornucopiae,10,30,High,25,149.1
P.cornucopiae,20,30,High,25,190.4
P.cornucopiae,0,35,High,25,70.4
P.cornucopiae,10,35,High,25,119
P.cornucopiae,20,35,High,25,228.4
P.cornucopiae,0,40,High,25,78.1
P.cornucopiae,10,40,High,25,75.8
P.cornucopiae,20,40,High,25,196.2
P.cornucopiae,0,45,High,25,41
P.cornucopiae,10,45,High,25,61.2
P.cornucopiae,20,45,High,25,137
